rl	V(vo)	I(Rl)
4.136820402388560e-001	1.950128e-001	4.714075e-001
4.298662347082332e-001	2.034510e-001	4.732891e-001
4.466835921509688e-001	2.122910e-001	4.752603e-001
4.641588833612837e-001	2.215555e-001	4.773269e-001
4.823178482239366e-001	2.312679e-001	4.794928e-001
5.011872336272785e-001	2.414536e-001	4.817633e-001
5.207948328595528e-001	2.521369e-001	4.841387e-001
5.411695265464703e-001	2.633583e-001	4.866465e-001
5.623413251903560e-001	2.751393e-001	4.892745e-001
5.843414133735247e-001	2.875162e-001	4.920346e-001
6.072021956909960e-001	3.005258e-001	4.949354e-001
6.309573444802009e-001	3.142081e-001	4.979863e-001
6.556418494179868e-001	3.286055e-001	5.011966e-001
6.812920690579695e-001	3.437641e-001	5.045767e-001
7.079457843841464e-001	3.597339e-001	5.081377e-001
7.356422544596500e-001	3.765691e-001	5.118916e-001
7.644222742526092e-001	3.943284e-001	5.158516e-001
7.943282347242908e-001	4.130768e-001	5.200329e-001
8.254041852680281e-001	4.328817e-001	5.244481e-001
8.576958985909041e-001	4.538221e-001	5.291178e-001
8.912509381337559e-001	4.759796e-001	5.340579e-001
9.261187281288041e-001	4.994471e-001	5.392906e-001
9.623506263980995e-001	5.243249e-001	5.448377e-001
1.000000000000011e+000	5.507240e-001	5.507240e-001
1.039122303835181e+000	5.787669e-001	5.569767e-001
1.079775162327722e+000	6.085897e-001	5.636263e-001
1.122018454301976e+000	6.403430e-001	5.707063e-001
1.165914401179845e+000	6.741949e-001	5.782542e-001
1.211527658628602e+000	7.103328e-001	5.863116e-001
1.258925411794181e+000	7.489671e-001	5.949257e-001
1.308177474260208e+000	7.903340e-001	6.041489e-001
1.359356390878540e+000	8.347003e-001	6.140409e-001
1.412537544622769e+000	8.823679e-001	6.246687e-001
1.467799267622085e+000	9.336803e-001	6.361090e-001
1.525222956539035e+000	9.890296e-001	6.484492e-001
1.584893192461130e+000	1.048865e+000	6.617892e-001
1.646897865482885e+000	1.113708e+000	6.762459e-001
1.711328304161798e+000	1.184157e+000	6.919521e-001
1.778279410038941e+000	1.260914e+000	7.090642e-001
1.847849797422310e+000	1.344800e+000	7.277650e-001
1.920141938638821e+000	1.436787e+000	7.482714e-001
1.995262314968900e+000	1.538029e+000	7.708403e-001
2.073321573485976e+000	1.649907e+000	7.957798e-001
2.154434690031905e+000	1.774096e+000	8.234624e-001
2.238721138568361e+000	1.912634e+000	8.543425e-001
2.326305067153649e+000	2.068040e+000	8.889805e-001
2.417315480804127e+000	2.243452e+000	9.280756e-001
2.511886431509604e+000	2.442837e+000	9.725110e-001
2.610157215682562e+000	2.671286e+000	1.023419e+000
2.712272579332054e+000	2.935429e+000	1.082276e+000
2.818382931264480e+000	3.244075e+000	1.151041e+000
2.928644564625264e+000	3.609159e+000	1.232365e+000
3.043219887107750e+000	4.047331e+000	1.329950e+000
3.162277660168408e+000	4.582226e+000	1.449027e+000
3.285993247600684e+000	4.959857e+000	1.509393e+000
3.414548873833632e+000	4.993251e+000	1.462346e+000
3.548133892335786e+000	4.995468e+000	1.407914e+000
3.686945064519608e+000	4.996060e+000	1.355068e+000
3.831186849557321e+000	4.996670e+000	1.304209e+000
3.981071705535007e+000	4.997155e+000	1.255229e+000
4.136820402388542e+000	4.997618e+000	1.208082e+000
4.298662347082313e+000	4.998047e+000	1.162698e+000
4.466835921509669e+000	4.998438e+000	1.119011e+000
4.641588833612818e+000	4.998827e+000	1.076965e+000
4.823178482239348e+000	4.999175e+000	1.036490e+000
5.011872336272765e+000	4.999502e+000	9.975318e-001
5.207948328595506e+000	4.999802e+000	9.600329e-001
5.411695265464681e+000	5.000088e+000	9.239411e-001
5.623413251903537e+000	5.000357e+000	8.892031e-001
5.843414133735223e+000	5.000614e+000	8.557692e-001
6.072021956909934e+000	5.000847e+000	8.235884e-001
6.309573444801982e+000	5.001070e+000	7.926162e-001
6.556418494179840e+000	5.001284e+000	7.628073e-001
6.812920690579666e+000	5.001480e+000	7.341169e-001
7.079457843841434e+000	5.001671e+000	7.065049e-001
7.356422544596470e+000	5.001846e+000	6.799291e-001
7.644222742526060e+000	5.002021e+000	6.543532e-001
7.943282347242874e+000	5.002173e+000	6.297362e-001
8.254041852680246e+000	5.002324e+000	6.060454e-001
8.576958985909004e+000	5.002467e+000	5.832448e-001
8.912509381337520e+000	5.002611e+000	5.613022e-001
9.261187281288001e+000	5.002732e+000	5.401825e-001
9.623506263980953e+000	5.002853e+000	5.198576e-001
1.000000000000007e+001	5.002969e+000	5.002970e-001
1.039122303835176e+001	5.003080e+000	4.814717e-001
1.079775162327717e+001	5.003477e+000	4.633814e-001
1.122018454301971e+001	5.003304e+000	4.459200e-001
1.165914401179840e+001	5.003381e+000	4.291379e-001
1.211527658628597e+001	5.003472e+000	4.129887e-001
1.258925411794176e+001	5.003559e+000	3.974468e-001
1.308177474260203e+001	5.003641e+000	3.824895e-001
1.359356390878534e+001	5.003743e+000	3.680965e-001
1.412537544622763e+001	5.003798e+000	3.542417e-001
1.467799267622079e+001	5.003868e+000	3.409095e-001
1.525222956539028e+001	5.003960e+000	3.280806e-001
1.584893192461123e+001	5.004002e+000	3.157312e-001
1.646897865482879e+001	5.004065e+000	3.038479e-001
1.711328304161791e+001	5.004125e+000	2.924117e-001
1.778279410038934e+001	5.004183e+000	2.814059e-001
1.847849797422302e+001	5.004238e+000	2.708141e-001
1.920141938638813e+001	5.004287e+000	2.606207e-001
1.995262314968891e+001	5.004341e+000	2.508112e-001
2.073321573485967e+001	5.004389e+000	2.413706e-001
2.154434690031896e+001	5.004436e+000	2.322853e-001
2.238721138568352e+001	5.004620e+000	2.235482e-001
2.326305067153639e+001	5.004523e+000	2.151275e-001
2.417315480804117e+001	5.004564e+000	2.070298e-001
2.511886431509594e+001	5.004512e+000	1.992332e-001
2.610157215682551e+001	5.004690e+000	1.917390e-001
2.712272579332043e+001	5.004678e+000	1.845197e-001
2.818382931264469e+001	5.004713e+000	1.775739e-001
2.928644564625252e+001	5.004766e+000	1.708902e-001
3.043219887107738e+001	5.004779e+000	1.644567e-001
3.162277660168396e+001	5.004812e+000	1.582661e-001
3.285993247600671e+001	5.004837e+000	1.523082e-001
3.414548873833619e+001	5.004865e+000	1.465747e-001
3.548133892335773e+001	5.004892e+000	1.410570e-001
3.686945064519594e+001	5.004963e+000	1.357482e-001
3.831186849557307e+001	5.004944e+000	1.306369e-001
3.981071705534992e+001	5.004968e+000	1.257191e-001
4.136820402388527e+001	5.004992e+000	1.209864e-001
4.298662347082298e+001	5.005014e+000	1.164319e-001
4.466835921509652e+001	5.005035e+000	1.120488e-001
4.641588833612801e+001	5.005056e+000	1.078307e-001
4.823178482239329e+001	5.005076e+000	1.037713e-001
5.011872336272746e+001	5.005095e+000	9.986478e-002
5.207948328595487e+001	5.005114e+000	9.610529e-002
5.411695265464661e+001	5.005130e+000	9.248728e-002
5.623413251903516e+001	5.005149e+000	8.900554e-002
5.843414133735202e+001	5.005121e+000	8.565406e-002
6.072021956909912e+001	5.005181e+000	8.243023e-002
6.309573444801959e+001	5.005197e+000	7.932702e-002
6.556418494179816e+001	5.005219e+000	7.634074e-002
6.812920690579641e+001	5.005226e+000	7.346667e-002
7.079457843841408e+001	5.005240e+000	7.070089e-002
7.356422544596443e+001	5.005253e+000	6.803923e-002
7.644222742526033e+001	5.005266e+000	6.547776e-002
7.943282347242845e+001	5.005278e+000	6.301272e-002
8.254041852680216e+001	5.005290e+000	6.064048e-002
8.576958985908973e+001	5.005302e+000	5.835753e-002
8.912509381337489e+001	5.005313e+000	5.616053e-002
9.261187281287970e+001	5.005323e+000	5.404624e-002
9.623506263980922e+001	5.005334e+000	5.201154e-002
1.000000000000004e+002	5.005344e+000	5.005344e-002
1.039122303835173e+002	5.005353e+000	4.816905e-002
1.079775162327713e+002	5.005363e+000	4.635561e-002
1.122018454301967e+002	5.005373e+000	4.461043e-002
1.165914401179836e+002	5.005381e+000	4.293095e-002
1.211527658628592e+002	5.005389e+000	4.131469e-002
1.258925411794171e+002	5.005397e+000	3.975928e-002
1.308177474260198e+002	5.005405e+000	3.826243e-002
1.359356390878530e+002	5.005413e+000	3.682193e-002
1.412537544622759e+002	5.005420e+000	3.543566e-002
1.467799267622074e+002	5.005427e+000	3.410158e-002
1.525222956539024e+002	5.005434e+000	3.281772e-002
1.584893192461119e+002	5.005441e+000	3.158220e-002
1.646897865482873e+002	5.005447e+000	3.039319e-002
1.711328304161786e+002	5.005454e+000	2.924894e-002
1.778279410038928e+002	5.005459e+000	2.814777e-002
1.847849797422296e+002	5.005466e+000	2.708805e-002
1.920141938638807e+002	5.005471e+000	2.606823e-002
1.995262314968885e+002	5.005476e+000	2.508681e-002
2.073321573485960e+002	5.005482e+000	2.414233e-002
2.154434690031889e+002	5.005487e+000	2.323341e-002
2.238721138568345e+002	5.005492e+000	2.235871e-002
2.326305067153632e+002	5.005497e+000	2.151694e-002
2.417315480804110e+002	5.005502e+000	2.070686e-002
2.511886431509586e+002	5.005506e+000	1.992728e-002
2.610157215682543e+002	5.005511e+000	1.917705e-002
2.712272579332034e+002	5.005491e+000	1.845497e-002
2.818382931264460e+002	5.005519e+000	1.776025e-002
2.928644564625243e+002	5.005523e+000	1.709160e-002
3.043219887107728e+002	5.005527e+000	1.644813e-002
3.162277660168386e+002	5.005531e+000	1.582888e-002
3.285993247600661e+002	5.005535e+000	1.523294e-002
3.414548873833608e+002	5.005538e+000	1.465944e-002
3.548133892335761e+002	5.005542e+000	1.410753e-002
3.686945064519582e+002	5.005545e+000	1.357640e-002
3.831186849557294e+002	5.005548e+000	1.306527e-002
3.981071705534979e+002	5.005552e+000	1.257338e-002
4.136820402388514e+002	5.005555e+000	1.210001e-002
4.298662347082284e+002	5.005558e+000	1.164446e-002
4.466835921509638e+002	5.005561e+000	1.120606e-002
4.641588833612786e+002	5.005564e+000	1.078416e-002
4.823178482239313e+002	5.005567e+000	1.037815e-002
5.011872336272729e+002	5.005615e+000	9.987515e-003
5.207948328595470e+002	5.005572e+000	9.611409e-003
5.411695265464643e+002	5.005575e+000	9.249550e-003
5.623413251903497e+002	5.005578e+000	8.901315e-003
5.843414133735182e+002	5.005580e+000	8.566190e-003
6.072021956909891e+002	5.005582e+000	8.243683e-003
6.309573444801938e+002	5.005585e+000	7.933317e-003
6.556418494179794e+002	5.005587e+000	7.634636e-003
6.812920690579618e+002	5.005589e+000	7.347200e-003
7.079457843841384e+002	5.005591e+000	7.070586e-003
7.356422544596418e+002	5.005593e+000	6.804385e-003
7.644222742526007e+002	5.005596e+000	6.548207e-003
7.943282347242819e+002	5.005598e+000	6.301674e-003
8.254041852680188e+002	5.005599e+000	6.064422e-003
8.576958985908944e+002	5.005610e+000	5.836112e-003
8.912509381337458e+002	5.005643e+000	5.616424e-003
9.261187281287937e+002	5.005605e+000	5.404928e-003
9.623506263980887e+002	5.005607e+000	5.201438e-003
1.000000000000000e+003	5.005609e+000	5.005609e-003
