vin	V(vo)
2.720000000000012e+001	5.043965e+000
2.730000000000012e+001	5.044048e+000
2.740000000000012e+001	5.044131e+000
2.750000000000012e+001	5.044214e+000
2.760000000000012e+001	5.044296e+000
2.770000000000012e+001	5.044379e+000
2.780000000000013e+001	5.044461e+000
2.790000000000013e+001	5.044544e+000
2.800000000000013e+001	5.044626e+000
2.810000000000013e+001	5.044708e+000
2.820000000000013e+001	5.044790e+000
2.830000000000013e+001	5.044872e+000
2.840000000000013e+001	5.044954e+000
2.850000000000014e+001	5.045035e+000
2.860000000000014e+001	5.045117e+000
2.870000000000014e+001	5.045198e+000
2.880000000000014e+001	5.045280e+000
2.890000000000014e+001	5.045361e+000
2.900000000000014e+001	5.045442e+000
2.910000000000014e+001	5.045523e+000
2.920000000000015e+001	5.045603e+000
2.930000000000015e+001	5.045684e+000
2.940000000000015e+001	5.045764e+000
2.950000000000015e+001	5.045845e+000
2.960000000000015e+001	5.045926e+000
2.970000000000015e+001	5.046006e+000
2.980000000000015e+001	5.046086e+000
2.990000000000016e+001	5.046166e+000
3.000000000000000e+001	5.046246e+000
