rl	V(vo)	I(RL)
6.237348354824258e-03	2.672814e-03	4.285176e-01
6.309573444802001e-03	2.703807e-03	4.285246e-01
6.382634861905555e-03	2.735160e-03	4.285316e-01
6.456542290346625e-03	2.766878e-03	4.285386e-01
6.531305526474795e-03	2.798963e-03	4.285458e-01
6.606934480076032e-03	2.831422e-03	4.285530e-01
6.683439175686219e-03	2.864257e-03	4.285603e-01
6.760829753919893e-03	2.897474e-03	4.285677e-01
6.839116472814369e-03	2.931076e-03	4.285752e-01
6.918309709189443e-03	2.965069e-03	4.285828e-01
6.998419960022813e-03	2.999456e-03	4.285905e-01
7.079457843841458e-03	3.034243e-03	4.285983e-01
7.161434102129102e-03	3.069434e-03	4.286061e-01
7.244359600749984e-03	3.105034e-03	4.286140e-01
7.328245331389125e-03	3.141048e-03	4.286221e-01
7.413102413009261e-03	3.177480e-03	4.286302e-01
7.498942093324646e-03	3.214335e-03	4.286384e-01
7.585775750291926e-03	3.251618e-03	4.286467e-01
7.673614893618280e-03	3.289334e-03	4.286551e-01
7.762471166287010e-03	3.327489e-03	4.286636e-01
7.852356346100811e-03	3.366087e-03	4.286723e-01
7.943282347242911e-03	3.405134e-03	4.286810e-01
8.035261221856270e-03	3.444634e-03	4.286898e-01
8.128305161641092e-03	3.484594e-03	4.286987e-01
8.222426499470812e-03	3.525018e-03	4.287077e-01
8.317637711026813e-03	3.565911e-03	4.287168e-01
8.413951416452056e-03	3.607280e-03	4.287260e-01
8.511380382023870e-03	3.649130e-03	4.287354e-01
8.609937521846113e-03	3.691466e-03	4.287448e-01
8.709635899560916e-03	3.734295e-03	4.287544e-01
8.810488730080251e-03	3.777621e-03	4.287640e-01
8.912509381337568e-03	3.821451e-03	4.287738e-01
9.015711376059683e-03	3.865790e-03	4.287837e-01
9.120108393559215e-03	3.910645e-03	4.287937e-01
9.225714271547749e-03	3.956022e-03	4.288038e-01
9.332543007970031e-03	4.001926e-03	4.288141e-01
9.440608762859355e-03	4.048364e-03	4.288244e-01
9.549925860214484e-03	4.095342e-03	4.288349e-01
9.660508789898261e-03	4.142866e-03	4.288455e-01
9.772372209558237e-03	4.190943e-03	4.288562e-01
9.885530946569521e-03	4.239579e-03	4.288671e-01
1.000000000000013e-02	4.288781e-03	4.288780e-01
1.011579454259912e-02	4.338555e-03	4.288891e-01
1.023292992280768e-02	4.388907e-03	4.289004e-01
1.035142166679358e-02	4.439846e-03	4.289117e-01
1.047128548050914e-02	4.491378e-03	4.289232e-01
1.059253725177303e-02	4.543508e-03	4.289348e-01
1.071519305237621e-02	4.596246e-03	4.289466e-01
1.083926914021218e-02	4.649597e-03	4.289585e-01
1.096478196143200e-02	4.703568e-03	4.289705e-01
1.109174815262417e-02	4.758168e-03	4.289827e-01
1.122018454301979e-02	4.813403e-03	4.289950e-01
1.135010815672331e-02	4.869282e-03	4.290075e-01
1.148153621496899e-02	4.925810e-03	4.290201e-01
1.161448613840359e-02	4.982996e-03	4.290329e-01
1.174897554939546e-02	5.040848e-03	4.290458e-01
1.188502227437035e-02	5.099374e-03	4.290588e-01
1.202264434617430e-02	5.158580e-03	4.290720e-01
1.216186000646386e-02	5.218477e-03	4.290854e-01
1.230268770812399e-02	5.279070e-03	4.290989e-01
1.244514611771403e-02	5.340368e-03	4.291126e-01
1.258925411794186e-02	5.402382e-03	4.291264e-01
1.273503081016680e-02	5.465116e-03	4.291404e-01
1.288249551693153e-02	5.528581e-03	4.291545e-01
1.303166778452319e-02	5.592786e-03	4.291689e-01
1.318256738556427e-02	5.657739e-03	4.291834e-01
1.333521432163344e-02	5.723448e-03	4.291980e-01
1.348962882591674e-02	5.789922e-03	4.292128e-01
1.364583136588945e-02	5.857171e-03	4.292278e-01
1.380384264602906e-02	5.925203e-03	4.292430e-01
1.396368361055959e-02	5.994028e-03	4.292583e-01
1.412537544622776e-02	6.063655e-03	4.292739e-01
1.428893958511125e-02	6.134093e-03	4.292896e-01
1.445439770745950e-02	6.205352e-03	4.293055e-01
1.462177174456741e-02	6.277442e-03	4.293216e-01
1.479108388168230e-02	6.350372e-03	4.293378e-01
1.496235656094457e-02	6.424152e-03	4.293543e-01
1.513561248436232e-02	6.498792e-03	4.293709e-01
1.531087461682054e-02	6.574302e-03	4.293878e-01
1.548816618912506e-02	6.650693e-03	4.294048e-01
1.566751070108174e-02	6.727975e-03	4.294221e-01
1.584893192461139e-02	6.806157e-03	4.294395e-01
1.603245390690067e-02	6.885251e-03	4.294571e-01
1.621810097358956e-02	6.965268e-03	4.294750e-01
1.640589773199566e-02	7.046219e-03	4.294930e-01
1.659586907437587e-02	7.128113e-03	4.295113e-01
1.678804018122588e-02	7.210963e-03	4.295298e-01
1.698243652461772e-02	7.294780e-03	4.295485e-01
1.717908387157616e-02	7.379574e-03	4.295674e-01
1.737800828749404e-02	7.465358e-03	4.295865e-01
1.757923613958722e-02	7.552143e-03	4.296059e-01
1.778279410038952e-02	7.639941e-03	4.296255e-01
1.798870915128818e-02	7.728764e-03	4.296453e-01
1.819700858610014e-02	7.818623e-03	4.296653e-01
1.840772001468987e-02	7.909532e-03	4.296856e-01
1.862087136662899e-02	8.001503e-03	4.297061e-01
1.883649089489832e-02	8.094546e-03	4.297269e-01
