rl	V(vo)	I(Rl)
2.154434690031896e+001	5.001572e+000	2.321524e-001
2.238721138568352e+001	5.001616e+000	2.234140e-001
2.326305067153639e+001	5.001659e+000	2.150044e-001
2.417315480804117e+001	5.001700e+000	2.069113e-001
2.511886431509594e+001	5.001739e+000	1.991228e-001
2.610157215682551e+001	5.001777e+000	1.916274e-001
2.712272579332043e+001	5.001826e+000	1.844146e-001
2.818382931264469e+001	5.001847e+000	1.774722e-001
2.928644564625252e+001	5.001881e+000	1.707917e-001
3.043219887107738e+001	5.001913e+000	1.643625e-001
3.162277660168396e+001	5.001944e+000	1.581753e-001
3.285993247600671e+001	5.001973e+000	1.522210e-001
3.414548873833619e+001	5.002001e+000	1.464908e-001
3.548133892335773e+001	5.002028e+000	1.409763e-001
3.686945064519594e+001	5.002055e+000	1.356694e-001
3.831186849557307e+001	5.002080e+000	1.305621e-001
3.981071705534992e+001	5.002104e+000	1.256472e-001
4.136820402388527e+001	5.002127e+000	1.209172e-001
4.298662347082298e+001	5.002150e+000	1.163653e-001
4.466835921509652e+001	5.002172e+000	1.119847e-001
4.641588833612801e+001	5.002192e+000	1.077690e-001
4.823178482239329e+001	5.002212e+000	1.037119e-001
5.011872336272746e+001	5.002231e+000	9.980763e-002
5.207948328595487e+001	5.002250e+000	9.605030e-002
5.411695265464661e+001	5.002268e+000	9.243439e-002
5.623413251903516e+001	5.002285e+000	8.895461e-002
5.843414133735202e+001	5.002301e+000	8.560580e-002
6.072021956909912e+001	5.002317e+000	8.238306e-002
6.309573444801959e+001	5.002333e+000	7.928163e-002
6.556418494179816e+001	5.002347e+000	7.629696e-002
6.812920690579641e+001	5.002362e+000	7.342463e-002
7.079457843841408e+001	5.002376e+000	7.066043e-002
7.356422544596443e+001	5.002389e+000	6.800029e-002
7.644222742526033e+001	5.002402e+000	6.544029e-002
7.943282347242845e+001	5.002414e+000	6.297667e-002
8.254041852680216e+001	5.002426e+000	6.060578e-002
8.576958985908973e+001	5.002438e+000	5.832414e-002
8.912509381337489e+001	5.002449e+000	5.612840e-002
9.261187281287970e+001	5.002460e+000	5.401531e-002
9.623506263980922e+001	5.002470e+000	5.198178e-002
1.000000000000004e+002	5.002480e+000	5.002480e-002
1.039122303835173e+002	5.002490e+000	4.814149e-002
1.079775162327713e+002	5.002499e+000	4.632908e-002
1.122018454301967e+002	5.002508e+000	4.458490e-002
1.165914401179836e+002	5.002516e+000	4.290638e-002
1.211527658628592e+002	5.002525e+000	4.129105e-002
1.258925411794171e+002	5.002533e+000	3.973653e-002
1.308177474260198e+002	5.002541e+000	3.824054e-002
1.359356390878530e+002	5.002549e+000	3.680086e-002
1.412537544622759e+002	5.002556e+000	3.541538e-002
1.467799267622074e+002	5.002563e+000	3.408207e-002
1.525222956539024e+002	5.002570e+000	3.279894e-002
1.584893192461119e+002	5.002576e+000	3.156412e-002
1.646897865482873e+002	5.002583e+000	3.037579e-002
1.711328304161786e+002	5.002589e+000	2.923220e-002
1.778279410038928e+002	5.002595e+000	2.813166e-002
1.847849797422296e+002	5.002601e+000	2.707255e-002
1.920141938638807e+002	5.002607e+000	2.605332e-002
1.995262314968885e+002	5.002613e+000	2.507246e-002
2.073321573485960e+002	5.002618e+000	2.412852e-002
2.154434690031889e+002	5.002623e+000	2.322012e-002
2.238721138568345e+002	5.002628e+000	2.234592e-002
2.326305067153632e+002	5.002633e+000	2.150463e-002
2.417315480804110e+002	5.002637e+000	2.069501e-002
2.511886431509586e+002	5.002642e+000	1.991588e-002
2.610157215682543e+002	5.002646e+000	1.916607e-002
2.712272579332034e+002	5.002651e+000	1.844450e-002
2.818382931264460e+002	5.002655e+000	1.775009e-002
2.928644564625243e+002	5.002659e+000	1.708182e-002
3.043219887107728e+002	5.002663e+000	1.643872e-002
3.162277660168386e+002	5.002667e+000	1.581982e-002
3.285993247600661e+002	5.002671e+000	1.522423e-002
3.414548873833608e+002	5.002674e+000	1.465105e-002
3.548133892335761e+002	5.002677e+000	1.409946e-002
3.686945064519582e+002	5.002681e+000	1.356864e-002
3.831186849557294e+002	5.002685e+000	1.305779e-002
3.981071705534979e+002	5.002687e+000	1.256618e-002
4.136820402388514e+002	5.002691e+000	1.209308e-002
4.298662347082284e+002	5.002694e+000	1.163779e-002
4.466835921509638e+002	5.002697e+000	1.119964e-002
4.641588833612786e+002	5.002700e+000	1.077799e-002
4.823178482239313e+002	5.002703e+000	1.037221e-002
5.011872336272729e+002	5.002705e+000	9.981710e-003
5.207948328595470e+002	5.002708e+000	9.605910e-003
5.411695265464643e+002	5.002710e+000	9.244258e-003
5.623413251903497e+002	5.002713e+000	8.896221e-003
5.843414133735182e+002	5.002716e+000	8.561289e-003
6.072021956909891e+002	5.002718e+000	8.238966e-003
6.309573444801938e+002	5.002720e+000	7.928777e-003
6.556418494179794e+002	5.002723e+000	7.630267e-003
6.812920690579618e+002	5.002725e+000	7.342996e-003
7.079457843841384e+002	5.002727e+000	7.066540e-003
7.356422544596418e+002	5.002729e+000	6.800492e-003
7.644222742526007e+002	5.002731e+000	6.544460e-003
7.943282347242819e+002	5.002733e+000	6.298068e-003
8.254041852680188e+002	5.002735e+000	6.060952e-003
8.576958985908944e+002	5.002787e+000	5.832822e-003
8.912509381337458e+002	5.002739e+000	5.613165e-003
9.261187281287937e+002	5.002741e+000	5.401835e-003
9.623506263980887e+002	5.002743e+000	5.198461e-003
1.000000000000000e+003	5.002744e+000	5.002744e-003
