time	V(vo)	V(vregp)
Step Information: Cx=1n  (Run: 1/3)
1.638573968233152e-003	4.992733e+000	9.500000e+000
1.640573968233151e-003	4.992733e+000	9.500000e+000
1.643573968233151e-003	4.992733e+000	9.500000e+000
1.644140853404597e-003	4.992733e+000	9.500000e+000
1.644813388982106e-003	4.992733e+000	9.500000e+000
1.645230572989661e-003	4.992733e+000	9.500000e+000
1.645675319611679e-003	4.992733e+000	9.500000e+000
1.646396459448806e-003	4.992733e+000	9.500000e+000
1.648396459448806e-003	4.992733e+000	9.500000e+000
1.650396459448806e-003	4.992733e+000	9.500000e+000
1.652396459448806e-003	4.992733e+000	9.500000e+000
1.653396459448806e-003	4.992733e+000	9.500000e+000
1.654073407035948e-003	4.992733e+000	9.500000e+000
1.654752009224402e-003	4.992733e+000	9.500000e+000
1.655638058481624e-003	4.992733e+000	9.500000e+000
1.656336283051115e-003	4.992733e+000	9.500000e+000
1.657336283051115e-003	4.992733e+000	9.500000e+000
1.658336283051115e-003	4.992733e+000	9.500000e+000
1.660336283051114e-003	4.992733e+000	9.500000e+000
1.663336283051114e-003	4.992733e+000	9.500000e+000
1.664050293392539e-003	4.992733e+000	9.500000e+000
1.664731078669897e-003	4.992733e+000	9.500000e+000
1.665625330457239e-003	4.992733e+000	9.500000e+000
1.666315714741977e-003	4.992733e+000	9.500000e+000
1.668315714741977e-003	4.992733e+000	9.500000e+000
1.671315714741976e-003	4.992733e+000	9.500000e+000
1.673315714741976e-003	4.992733e+000	9.500000e+000
1.674042359878073e-003	4.992733e+000	9.500000e+000
1.674723907118133e-003	4.992733e+000	9.500000e+000
1.675540485112481e-003	4.992733e+000	9.500000e+000
1.676178452427543e-003	4.992733e+000	9.500000e+000
1.677178452427543e-003	4.992733e+000	9.500000e+000
1.678178452427543e-003	4.992733e+000	9.500000e+000
1.682178452427542e-003	4.992733e+000	9.500000e+000
1.683178452427542e-003	4.992733e+000	9.500000e+000
1.683988934100391e-003	4.992733e+000	9.500000e+000
1.684343228632225e-003	4.992733e+000	9.500000e+000
1.685298297437752e-003	4.992733e+000	9.500000e+000
1.685785449033701e-003	4.992733e+000	9.500000e+000
1.687573968233152e-003	4.992733e+000	9.500000e+000
1.688573968233152e-003	4.992733e+000	9.500000e+000
1.691573968233152e-003	4.992733e+000	9.500000e+000
1.693573968233152e-003	4.992733e+000	9.500000e+000
1.694140853404597e-003	4.992733e+000	9.500000e+000
1.694813388982106e-003	4.992733e+000	9.500000e+000
1.695230572989661e-003	4.992733e+000	9.500000e+000
1.695675319611680e-003	4.992733e+000	9.500000e+000
1.696396459448807e-003	4.992733e+000	9.500000e+000
1.697396459448807e-003	4.992733e+000	9.500000e+000
1.698396459448807e-003	4.992733e+000	9.500000e+000
1.702396459448806e-003	4.992733e+000	9.500000e+000
1.703396459448806e-003	4.992733e+000	9.500000e+000
1.704073407035948e-003	4.992733e+000	9.500000e+000
1.704752009224402e-003	4.992733e+000	9.500000e+000
1.705638058481624e-003	4.992733e+000	9.500000e+000
1.706336283051115e-003	4.992733e+000	9.500000e+000
1.708336283051114e-003	4.992733e+000	9.500000e+000
1.713336283051114e-003	4.992733e+000	9.500000e+000
1.714050293392539e-003	4.992733e+000	9.500000e+000
1.714731078669897e-003	4.992733e+000	9.500000e+000
1.715625330457239e-003	4.992733e+000	9.500000e+000
1.716315714741977e-003	4.992733e+000	9.500000e+000
1.718315714741976e-003	4.992733e+000	9.500000e+000
1.721315714741976e-003	4.992733e+000	9.500000e+000
1.723315714741976e-003	4.992733e+000	9.500000e+000
1.724042359878073e-003	4.992733e+000	9.500000e+000
1.724723907118132e-003	4.992733e+000	9.500000e+000
1.725540485112480e-003	4.992733e+000	9.500000e+000
1.726178452427542e-003	4.992733e+000	9.500000e+000
1.728178452427542e-003	4.992733e+000	9.500000e+000
1.732178452427541e-003	4.992733e+000	9.500000e+000
1.733178452427541e-003	4.992733e+000	9.500000e+000
1.733988934100391e-003	4.992733e+000	9.500000e+000
1.734343228632225e-003	4.992733e+000	9.500000e+000
1.735298297437751e-003	4.992733e+000	9.500000e+000
1.735785449033700e-003	4.992733e+000	9.500000e+000
1.737573968233151e-003	4.992733e+000	9.500000e+000
1.738573968233151e-003	4.992733e+000	9.500000e+000
1.741573968233151e-003	4.992733e+000	9.500000e+000
1.743573968233151e-003	4.992733e+000	9.500000e+000
1.744140853404597e-003	4.992733e+000	9.500000e+000
1.744813388982106e-003	4.992733e+000	9.500000e+000
1.745675319611680e-003	4.992733e+000	9.500000e+000
1.746396459448807e-003	4.992733e+000	9.500000e+000
1.747396459448807e-003	4.992733e+000	9.500000e+000
1.748396459448806e-003	4.992733e+000	9.500000e+000
1.752396459448806e-003	4.992733e+000	9.500000e+000
1.753396459448806e-003	4.992733e+000	9.500000e+000
1.754073407035948e-003	4.992733e+000	9.500000e+000
1.754752009224402e-003	4.992733e+000	9.500000e+000
1.755638058481624e-003	4.992733e+000	9.500000e+000
1.756336283051115e-003	4.992733e+000	9.500000e+000
