time	V(vo)	V(vreg)	I(Rl)
2.384592677880422e-003	3.073039e+000	9.500000e+000	6.146078e-002
2.394592677880422e-003	3.112177e+000	9.500000e+000	6.224355e-002
2.404592677880422e-003	3.149789e+000	9.500000e+000	6.299578e-002
2.434592677880422e-003	3.256849e+000	9.500000e+000	6.513698e-002
2.463164106451851e-003	3.351274e+000	9.500000e+000	6.702547e-002
2.491735535023279e-003	3.441050e+000	9.500000e+000	6.882101e-002
2.520306963594708e-003	3.526179e+000	9.500000e+000	7.052358e-002
2.548878392166137e-003	3.606659e+000	9.500000e+000	7.213319e-002
2.577449820737566e-003	3.682492e+000	9.500000e+000	7.364983e-002
2.606021249308994e-003	3.753676e+000	9.500000e+000	7.507352e-002
2.634592677880423e-003	3.820212e+000	9.500000e+000	7.640424e-002
2.678878392166137e-003	3.915916e+000	9.500000e+000	7.831832e-002
2.723164106451851e-003	4.005109e+000	9.500000e+000	8.010218e-002
2.767449820737566e-003	4.087791e+000	9.500000e+000	8.175581e-002
2.811735535023280e-003	4.163961e+000	9.500000e+000	8.327923e-002
2.856021249308995e-003	4.233621e+000	9.500000e+000	8.467242e-002
2.900306963594709e-003	4.296769e+000	9.500000e+000	8.593539e-002
2.944592677880424e-003	4.353407e+000	9.500000e+000	8.706813e-002
2.991735535023281e-003	4.408984e+000	9.500000e+000	8.817968e-002
3.038878392166138e-003	4.460605e+000	9.500000e+000	8.921210e-002
3.086021249308995e-003	4.508271e+000	9.500000e+000	9.016541e-002
3.133164106451853e-003	4.551980e+000	9.500000e+000	9.103959e-002
3.180306963594710e-003	4.591733e+000	9.500000e+000	9.183465e-002
3.227449820737567e-003	4.627530e+000	9.500000e+000	9.255059e-002
3.274592677880424e-003	4.659371e+000	9.500000e+000	9.318741e-002
3.321735535023282e-003	4.688733e+000	9.500000e+000	9.377466e-002
3.368878392166139e-003	4.716007e+000	9.500000e+000	9.432013e-002
3.416021249308996e-003	4.741191e+000	9.500000e+000	9.482382e-002
3.463164106451853e-003	4.764286e+000	9.500000e+000	9.528572e-002
3.510306963594711e-003	4.785292e+000	9.500000e+000	9.570584e-002
3.557449820737568e-003	4.804209e+000	9.500000e+000	9.608419e-002
3.604592677880425e-003	4.821037e+000	9.500000e+000	9.642075e-002
3.651735535023282e-003	4.836555e+000	9.500000e+000	9.673110e-002
3.698878392166140e-003	4.850968e+000	9.500000e+000	9.701936e-002
3.746021249308997e-003	4.864277e+000	9.500000e+000	9.728555e-002
3.793164106451854e-003	4.876482e+000	9.500000e+000	9.752965e-002
3.840306963594711e-003	4.887584e+000	9.500000e+000	9.775168e-002
3.887449820737568e-003	4.897581e+000	9.500000e+000	9.795162e-002
3.934592677880425e-003	4.906475e+000	9.500000e+000	9.812949e-002
3.981735535023280e-003	4.914675e+000	9.500000e+000	9.829350e-002
4.028878392166136e-003	4.922292e+000	9.500000e+000	9.844584e-002
4.076021249308991e-003	4.929326e+000	9.500000e+000	9.858652e-002
4.123164106451846e-003	4.935777e+000	9.500000e+000	9.871553e-002
4.170306963594702e-003	4.941643e+000	9.500000e+000	9.883287e-002
4.217449820737557e-003	4.946927e+000	9.500000e+000	9.893853e-002
4.264592677880412e-003	4.951627e+000	9.500000e+000	9.903254e-002
4.311735535023267e-003	4.955960e+000	9.500000e+000	9.911921e-002
4.358878392166123e-003	4.959986e+000	9.500000e+000	9.919972e-002
4.406021249308978e-003	4.963703e+000	9.500000e+000	9.927406e-002
4.453164106451833e-003	4.967112e+000	9.500000e+000	9.934224e-002
4.500306963594688e-003	4.970212e+000	9.500000e+000	9.940425e-002
4.547449820737543e-003	4.973005e+000	9.500000e+000	9.946009e-002
4.594592677880398e-003	4.975489e+000	9.500000e+000	9.950977e-002
4.641735535023253e-003	4.977779e+000	9.500000e+000	9.955557e-002
4.688878392166109e-003	4.979906e+000	9.500000e+000	9.959812e-002
4.736021249308964e-003	4.981870e+000	9.500000e+000	9.963741e-002
4.783164106451819e-003	4.983672e+000	9.500000e+000	9.967344e-002
4.830306963594675e-003	4.985310e+000	9.500000e+000	9.970621e-002
