time	V(vo)	V(vregp)	I(Rl)
1.113178476932481e-003	4.134508e+000	9.500000e+000	8.269016e-002
1.113988943718392e-003	4.169542e+000	9.500000e+000	8.339083e-002
1.114343235815051e-003	4.184847e+000	9.500000e+000	8.369694e-002
1.114675793848384e-003	4.199204e+000	9.500000e+000	8.398408e-002
1.114995437570637e-003	4.212994e+000	9.500000e+000	8.425989e-002
1.115298304228569e-003	4.226048e+000	9.500000e+000	8.452095e-002
1.115785460072592e-003	4.247000e+000	9.500000e+000	8.494000e-002
1.116573985997890e-003	4.280753e+000	9.500000e+000	8.561505e-002
1.117573985997890e-003	4.323102e+000	9.500000e+000	8.646204e-002
1.118573985997890e-003	4.364514e+000	9.500000e+000	8.729029e-002
1.119573985997890e-003	4.404227e+000	9.500000e+000	8.808453e-002
1.120573985997890e-003	4.441267e+000	9.500000e+000	8.882533e-002
1.121573985997890e-003	4.474645e+000	9.500000e+000	8.949289e-002
1.122573985997890e-003	4.503652e+000	9.500000e+000	9.007303e-002
1.123573985997890e-003	4.528520e+000	9.500000e+000	9.057039e-002
1.124140860107243e-003	4.540749e+000	9.500000e+000	9.081496e-002
1.124457106204007e-003	4.546813e+000	9.500000e+000	9.093625e-002
1.124813395103683e-003	4.553081e+000	9.500000e+000	9.106161e-002
1.125230575271545e-003	4.559879e+000	9.500000e+000	9.119758e-002
1.125675323323554e-003	4.566510e+000	9.500000e+000	9.133021e-002
1.126396465440629e-003	4.576232e+000	9.500000e+000	9.152464e-002
1.127396465440629e-003	4.588517e+000	9.500000e+000	9.177034e-002
1.128396465440629e-003	4.600041e+000	9.500000e+000	9.200083e-002
1.129396465440629e-003	4.611382e+000	9.500000e+000	9.222765e-002
1.130396465440628e-003	4.623031e+000	9.500000e+000	9.246062e-002
1.131396465440628e-003	4.635237e+000	9.500000e+000	9.270474e-002
1.132396465440628e-003	4.648047e+000	9.500000e+000	9.296094e-002
1.133396465440628e-003	4.661332e+000	9.500000e+000	9.322663e-002
1.134073409330468e-003	4.670516e+000	9.500000e+000	9.341031e-002
1.134752011304900e-003	4.679811e+000	9.500000e+000	9.359621e-002
1.135638059746192e-003	4.691860e+000	9.500000e+000	9.383721e-002
1.136336285094324e-003	4.701128e+000	9.500000e+000	9.402255e-002
1.137336285094324e-003	4.713964e+000	9.500000e+000	9.427929e-002
1.138336285094324e-003	4.726174e+000	9.500000e+000	9.452349e-002
1.139336285094324e-003	4.737618e+000	9.500000e+000	9.475236e-002
1.140336285094324e-003	4.748262e+000	9.500000e+000	9.496523e-002
1.141336285094324e-003	4.758134e+000	9.500000e+000	9.516267e-002
1.142336285094324e-003	4.767311e+000	9.500000e+000	9.534622e-002
1.143336285094323e-003	4.775929e+000	9.500000e+000	9.551858e-002
1.144389122981266e-003	4.784501e+000	9.500000e+000	9.569002e-002
1.145199846259111e-003	4.790762e+000	9.500000e+000	9.581525e-002
1.145625330890388e-003	4.793972e+000	9.500000e+000	9.587943e-002
1.146315715442045e-003	4.799076e+000	9.500000e+000	9.598151e-002
1.147315715442045e-003	4.806317e+000	9.500000e+000	9.612633e-002
1.148315715442045e-003	4.813399e+000	9.500000e+000	9.626799e-002
1.149315715442045e-003	4.820321e+000	9.500000e+000	9.640642e-002
1.150315715442045e-003	4.827076e+000	9.500000e+000	9.654153e-002
1.152315715442045e-003	4.840022e+000	9.500000e+000	9.680043e-002
1.153315715442045e-003	4.846183e+000	9.500000e+000	9.692367e-002
1.154383180955591e-003	4.852514e+000	9.500000e+000	9.705028e-002
1.155540485603291e-003	4.858997e+000	9.500000e+000	9.717994e-002
1.156178453222303e-003	4.862402e+000	9.500000e+000	9.724806e-002
1.157178453222303e-003	4.867551e+000	9.500000e+000	9.735102e-002
1.158178453222303e-003	4.872481e+000	9.500000e+000	9.744963e-002
1.160178453222303e-003	4.881682e+000	9.500000e+000	9.763364e-002
1.162178453222302e-003	4.890122e+000	9.500000e+000	9.780245e-002
1.163092098306161e-003	4.893763e+000	9.500000e+000	9.787527e-002
1.164005743390019e-003	4.897289e+000	9.500000e+000	9.794578e-002
1.164919388473877e-003	4.900699e+000	9.500000e+000	9.801398e-002
1.165833033557735e-003	4.903993e+000	9.500000e+000	9.807987e-002
1.166746678641593e-003	4.907172e+000	9.500000e+000	9.814345e-002
1.167660323725451e-003	4.910236e+000	9.500000e+000	9.820472e-002
1.168573968809310e-003	4.913184e+000	9.500000e+000	9.826368e-002
1.170573968809310e-003	4.919320e+000	9.500000e+000	9.838640e-002
1.172573968809309e-003	4.924975e+000	9.500000e+000	9.849951e-002
1.173548610356999e-003	4.927564e+000	9.500000e+000	9.855128e-002
1.174523251904689e-003	4.930056e+000	9.500000e+000	9.860113e-002
1.175497893452378e-003	4.932454e+000	9.500000e+000	9.864908e-002
1.176472535000068e-003	4.934756e+000	9.500000e+000	9.869512e-002
1.177447176547758e-003	4.936962e+000	9.500000e+000	9.873925e-002
1.178421818095448e-003	4.939073e+000	9.500000e+000	9.878146e-002
1.179396459643137e-003	4.941089e+000	9.500000e+000	9.882177e-002
1.182396459643137e-003	4.946887e+000	9.500000e+000	9.893775e-002
1.184384924660501e-003	4.950331e+000	9.500000e+000	9.900662e-002
1.186373389677864e-003	4.953552e+000	9.500000e+000	9.907104e-002
1.188361854695228e-003	4.956550e+000	9.500000e+000	9.913100e-002
1.190350319712591e-003	4.959326e+000	9.500000e+000	9.918651e-002
1.192338784729955e-003	4.961879e+000	9.500000e+000	9.923757e-002
1.194327249747318e-003	4.964209e+000	9.500000e+000	9.928418e-002
1.196315714764682e-003	4.966316e+000	9.500000e+000	9.932633e-002
1.199315714764681e-003	4.969254e+000	9.500000e+000	9.938510e-002
1.202315714764681e-003	4.971863e+000	9.500000e+000	9.943727e-002
1.204495465262846e-003	4.973546e+000	9.500000e+000	9.947091e-002
1.206675215761011e-003	4.975111e+000	9.500000e+000	9.950223e-002
1.208854966259177e-003	4.976561e+000	9.500000e+000	9.953122e-002
1.211034716757342e-003	4.977894e+000	9.500000e+000	9.955788e-002
1.213214467255507e-003	4.979111e+000	9.500000e+000	9.958221e-002
1.215394217753672e-003	4.980211e+000	9.500000e+000	9.960421e-002
1.217573968251838e-003	4.981194e+000	9.500000e+000	9.962388e-002
1.220573968251837e-003	4.982447e+000	9.500000e+000	9.964893e-002
1.222664496907894e-003	4.983224e+000	9.500000e+000	9.966449e-002
1.224755025563951e-003	4.983950e+000	9.500000e+000	9.967900e-002
1.226845554220007e-003	4.984623e+000	9.500000e+000	9.969246e-002
1.228936082876064e-003	4.985244e+000	9.500000e+000	9.970488e-002
1.231026611532120e-003	4.985813e+000	9.500000e+000	9.971626e-002
1.233117140188177e-003	4.986329e+000	9.500000e+000	9.972659e-002
1.235207668844233e-003	4.986794e+000	9.500000e+000	9.973587e-002
1.237508818258302e-003	4.987264e+000	9.500000e+000	9.974528e-002
1.239809967672370e-003	4.987700e+000	9.500000e+000	9.975401e-002
1.242111117086439e-003	4.988103e+000	9.500000e+000	9.976207e-002
1.244412266500507e-003	4.988473e+000	9.500000e+000	9.976945e-002
1.246713415914576e-003	4.988808e+000	9.500000e+000	9.977617e-002
1.249014565328644e-003	4.989110e+000	9.500000e+000	9.978220e-002
1.251315714742713e-003	4.989378e+000	9.500000e+000	9.978757e-002
1.253495465241433e-003	4.989613e+000	9.500000e+000	9.979227e-002
1.255675215740154e-003	4.989832e+000	9.500000e+000	9.979664e-002
1.257854966238874e-003	4.990034e+000	9.500000e+000	9.980069e-002
1.260034716737595e-003	4.990220e+000	9.500000e+000	9.980441e-002
1.262214467236316e-003	4.990390e+000	9.500000e+000	9.980781e-002
1.264394217735036e-003	4.990544e+000	9.500000e+000	9.981087e-002
1.266573968233757e-003	4.990681e+000	9.500000e+000	9.981362e-002
1.269573968233757e-003	4.990856e+000	9.500000e+000	9.981711e-002
